idx,description,wnid,base_accuracy,att0_accuracy
499,cleaver,n03041632,0.2,0.42
813,spatula,n04270147,0.2,0.42
618,ladle,n03633091,0.24,0.34
412,ashcan,n02747177,0.28,0.42
968,cup,n07930864,0.28,0.36
909,wok,n04596742,0.28,0.54
567,frying_pan,n03400231,0.32,0.44
550,espresso_maker,n03297495,0.38,0.56
729,plate_rack,n03961711,0.4,0.58
809,soup_bowl,n04263257,0.4,0.48
469,caldron,n02939185,0.42,0.54
700,paper_towel,n03887697,0.42,0.64
534,dishwasher,n03207941,0.44,0.54
651,microwave,n03761084,0.46,0.6
473,can_opener,n02951585,0.48,0.7
504,coffee_mug,n03063599,0.5,0.56
505,coffeepot,n03063689,0.5,0.6
827,stove,n04330267,0.52,0.54
441,beer_glass,n02823750,0.54,0.62
462,broom,n02906734,0.58,0.56
926,hot_pot,n07590611,0.58,0.78
653,milk_can,n03764736,0.6,0.66
544,Dutch_oven,n03259280,0.62,0.72
440,beer_bottle,n02823428,0.64,0.78
644,matchstick,n03729826,0.64,0.62
666,mortar,n03786901,0.64,0.74
667,mortarboard,n03787032,0.64,0.78
760,refrigerator,n04070727,0.64,0.86
773,saltshaker,n04131690,0.64,0.64
521,Crock_Pot,n03133878,0.66,0.8
849,teapot,n04398044,0.68,0.7
532,dining_table,n03201208,0.7,0.72
659,mixing_bowl,n03775546,0.7,0.84
896,washbasin,n04553703,0.78,0.88
533,dishrag,n03207743,0.82,0.86
